00:00,Ноль часов ноль минут,Двенадцать ноль ноль,Двенадцать ночи,Двенадцать ровно,Ровно двенадцать часов ночи,Полночь
00:01,Ноль часов одна минута,Двенадцать ноль одна,Одна минута первого,
00:02,Ноль часов две минуты,Двенадцать ноль две,Две минуты первого,
00:03,Ноль часов три минуты,Двенадцать ноль три,Три минуты первого,
00:04,Ноль часов четыре минуты,Двенадцать ноль четыре,Четыре минуты первого,
00:05,Ноль часов пять минут,Двенадцать ноль пять,Пять минут первого,
00:06,Ноль часов шесть минут,Двенадцать ноль шесть,Шесть минут первого,
00:07,Ноль часов семь минут,Двенадцать ноль семь,Семь минут первого,
00:08,Ноль часов восемь минут,Двенадцать ноль восемь,Восемь минут первого,
00:09,Ноль часов девять минут,Двенадцать ноль девять,Девять минут первого,
00:10,Ноль часов десять минут,Двенадцать десять,Десять минут первого,
00:11,Ноль часов одиннадцать минут,Двенадцать одиннадцать,Одиннадцать минут первого,
00:12,Ноль часов двенадцать минут,Двенадцать двенадцать,Двенадцать минут первого,
00:13,Ноль часов тринадцать минут,Двенадцать тринадцать,Тринадцать минут первого,
00:14,Ноль часов четырнадцать минут,Двенадцать четырнадцать,Четырнадцать минут первого,
00:15,Ноль часов пятнадцать минут,Двенадцать пятнадцать,Пятнадцать минут первого,Четверть первого,
00:16,Ноль часов шестнадцать минут,Двенадцать шестнадцать,Шестнадцать минут первого,
00:17,Ноль часов семнадцать минут,Двенадцать семнадцать,Семнадцать минут первого,
00:18,Ноль часов восемнадцать минут,Двенадцать восемнадцать,Восемнадцать минут первого,
00:19,Ноль часов девятнадцать минут,Двенадцать девятнадцать,Девятнадцать минут первого,
00:20,Ноль часов двадцать минут,Двенадцать двадцать,Двадцать минут первого,
00:21,Ноль часов двадцать одна минута,Двенадцать двадцать одна,Двадцать одна минута первого,
00:22,Ноль часов двадцать две минуты,Двенадцать двадцать две,Двадцать две минуты первого,
00:23,Ноль часов двадцать три минуты,Двенадцать двадцать три,Двадцать три минуты первого,
